url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/6680/sainte-ode/vbd48492,6680,sainte-ode,VBD48492,299000,0,0,Immediately,3,0,,,,1,2,Fuel oil,0,,4,2,,,210,"No, certificate does not comply",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/6887/herbeumont/vbd48493,6887,herbeumont,VBD48493,449000,0,0,On contract,3,0,,,,2,2,Hot air,0,East,4,2,,,67,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64894,9810,nazareth,RBU64894,352776,,0,,3,0,,1,1,1,2,Hot air,0,East,2,3,,,,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64895,9810,nazareth,RBU64895,347551,,0,,3,0,,1,1,1,2,Hot air,0,East,2,3,,,,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64896,9810,nazareth,RBU64896,353109,,0,,3,0,,1,1,1,2,Hot air,0,East,2,3,,,,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/3945/ham/rbu64904,3945,ham,RBU64904,449000,0,0,On contract,3,0,,,,1,2,Gas,0,South-east,3,,,,200,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/2890/sint-amands/rbu64909,2890,sint-amands,RBU64909,625000,0,0,Negotiable,2,0,,,,1,2,Gas,0,North-east,3,,,,97,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd48520,1950,kraainem,VBD48520,1600000,0,,On contract,6,0,1,1,1,3,,Gas,0,,4,1,,,517,"No, certificate does not comply",,,
https://immovlan.be/en/detail/residence/for-sale/4340/awans/vbd48516,4340,awans,VBD48516,325000,0,,On contract,3,,1,,,1,2,Gas,0,,4,2,,,295,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/cottage/for-sale/8940/wervik/vbd48530,8940,wervik,VBD48530,,0,1,On contract,3,0,1,1,2,1,,Hot air,0,,4,,,,91,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/mixed-building/for-sale/4000/liege/vbd48538,4000,liege,VBD48538,309000,,0,On contract,4,0,,,,4,4,Gas,0,South,2,3,,,228,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbd48539,4100,seraing,VBD48539,130000,0,0,On contract,4,0,,,,2,2,Gas,0,,2,2,,,547,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9500/goeferdinge/rbu64921,9500,goeferdinge,RBU64921,382000,0,0,Negotiable,4,0,,1,1,1,2,Gas,0,South-west,,,,,,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4760/bullingen/vbd48540,4760,bullingen,VBD48540,379000,0,0,,6,,,,,3,,Not specified,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbd48541,5500,dinant,VBD48541,260000,0,0,,4,0,,,,1,1,Fuel oil,0,,4,,,,534,"No, certificate does not comply",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/6860/leglise/vbd48542,6860,leglise,VBD48542,348500,0,0,On contract,3,0,1,,,1,3,Fuel oil,0,West,3,3,,,140,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/5377/somme-leuze/vbd48543,5377,somme-leuze,VBD48543,199000,0,0,On contract,3,0,,,,1,2,,0,,2,2,,,249,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/villa/for-sale/1950/kraainem/vbd48547,1950,kraainem,VBD48547,1600000,0,,Immediately,6,0,,1,2,4,5,Electricity,0,,4,1,,,517,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/6900/hargimont/vbd48544,6900,hargimont,VBD48544,210000,0,,,4,0,,1,1,1,2,Fuel oil,0,North,3,2,,,422,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd48548,1410,waterloo,VBD48548,2900000,0,,,5,0,1,1,4,6,,Gas,0,,4,,,,265,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/3630/maasmechelen/rbu64922,3630,maasmechelen,RBU64922,820000,0,,,5,0,1,,,2,,Gas,,,4,,,,60,,,,
https://immovlan.be/en/detail/residence/for-sale/4400/ivoz-ramet/vbd48551,4400,ivoz-ramet,VBD48551,200000,0,0,On contract,2,,,,,1,1,Fuel oil,,,3,,,,520,,,,
https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbu64923,9500,geraardsbergen,RBU64923,249000,0,0,Immediately,3,0,,1,1,1,1,Gas,0,South,,,,,673,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,
